state,date,positive cases
District of Columbia,2020-08-08,12653
District of Columbia,2020-08-09,12753
District of Columbia,2020-08-10,12807
District of Columbia,2020-08-11,12896
District of Columbia,2020-08-12,12959
District of Columbia,2020-08-13,13024
District of Columbia,2020-08-14,13118
District of Columbia,2020-08-15,13159
District of Columbia,2020-08-16,13220
District of Columbia,2020-08-17,13273
District of Columbia,2020-08-18,13325
District of Columbia,2020-08-19,13354
District of Columbia,2020-08-20,13409
District of Columbia,2020-08-21,13469
District of Columbia,2020-08-22,13534
District of Columbia,2020-08-23,13590
District of Columbia,2020-08-24,13639
District of Columbia,2020-08-25,13684
District of Columbia,2020-08-26,13722
District of Columbia,2020-08-27,13794
District of Columbia,2020-08-28,13851
District of Columbia,2020-08-29,13925
District of Columbia,2020-08-30,13959
District of Columbia,2020-08-31,13992
District of Columbia,2020-09-01,14049
District of Columbia,2020-09-02,14077
District of Columbia,2020-09-03,14135
District of Columbia,2020-09-04,14186
District of Columbia,2020-09-05,14238
District of Columbia,2020-09-06,14279
District of Columbia,2020-09-07,14315
District of Columbia,2020-09-08,14362
District of Columbia,2020-09-09,14387
District of Columbia,2020-09-10,14412
District of Columbia,2020-09-11,14493
District of Columbia,2020-09-12,14552
District of Columbia,2020-09-13,14592
District of Columbia,2020-09-14,14622
District of Columbia,2020-09-15,14687
District of Columbia,2020-09-16,14743
District of Columbia,2020-09-17,14790
District of Columbia,2020-09-18,14852
District of Columbia,2020-09-19,14902
District of Columbia,2020-09-20,14955
District of Columbia,2020-09-21,14978
District of Columbia,2020-09-22,15021
District of Columbia,2020-09-23,15050
District of Columbia,2020-09-24,15106
District of Columbia,2020-09-25,15163
District of Columbia,2020-09-26,15215
District of Columbia,2020-09-27,15250
District of Columbia,2020-09-28,15264
District of Columbia,2020-09-29,15300
District of Columbia,2020-09-30,15326
District of Columbia,2020-10-01,15358
District of Columbia,2020-10-02,15423
District of Columbia,2020-10-03,15473
District of Columbia,2020-10-04,15519
District of Columbia,2020-10-05,15547
District of Columbia,2020-10-06,15652
District of Columbia,2020-10-07,15697
District of Columbia,2020-10-08,15765
District of Columbia,2020-10-09,15843
District of Columbia,2020-10-10,15918
District of Columbia,2020-10-11,15984
District of Columbia,2020-10-12,16022
District of Columbia,2020-10-13,16068
District of Columbia,2020-10-14,16132
District of Columbia,2020-10-15,16166
District of Columbia,2020-10-16,16255
District of Columbia,2020-10-17,16334
District of Columbia,2020-10-18,16370
District of Columbia,2020-10-19,16395
District of Columbia,2020-10-20,16445
District of Columbia,2020-10-21,16498
District of Columbia,2020-10-22,16537
District of Columbia,2020-10-23,16609
District of Columbia,2020-10-24,16706
District of Columbia,2020-10-25,16767
District of Columbia,2020-10-26,16812
District of Columbia,2020-10-27,16906
District of Columbia,2020-10-28,16973
District of Columbia,2020-10-29,17074
District of Columbia,2020-10-30,17144
District of Columbia,2020-10-31,17266
District of Columbia,2020-11-01,17369
District of Columbia,2020-11-02,17438
District of Columbia,2020-11-03,17524
District of Columbia,2020-11-04,17601
District of Columbia,2020-11-05,17682
District of Columbia,2020-11-06,17792
District of Columbia,2020-11-07,17891
District of Columbia,2020-11-08,18001
District of Columbia,2020-11-09,18087
District of Columbia,2020-11-10,18173
District of Columbia,2020-11-11,18379
District of Columbia,2020-11-12,18507
District of Columbia,2020-11-13,18666
District of Columbia,2020-11-14,18814
District of Columbia,2020-11-15,18977
District of Columbia,2020-11-16,19064
District of Columbia,2020-11-17,19309
District of Columbia,2020-11-18,19465
District of Columbia,2020-11-19,19678
District of Columbia,2020-11-20,19808
District of Columbia,2020-11-21,19961
District of Columbia,2020-11-22,20151
District of Columbia,2020-11-23,20290
District of Columbia,2020-11-24,20409
District of Columbia,2020-11-25,20516
District of Columbia,2020-11-26,20736
District of Columbia,2020-11-27,20937
District of Columbia,2020-11-28,21308
District of Columbia,2020-11-29,21448
District of Columbia,2020-11-30,21552
District of Columbia,2020-12-01,21685
District of Columbia,2020-12-02,21842
District of Columbia,2020-12-03,22164
District of Columbia,2020-12-04,22480
District of Columbia,2020-12-05,22872
District of Columbia,2020-12-06,23136
District of Columbia,2020-12-07,23319
District of Columbia,2020-12-08,23589
District of Columbia,2020-12-09,23854
District of Columbia,2020-12-10,24098
District of Columbia,2020-12-11,24357
District of Columbia,2020-12-12,24643
District of Columbia,2020-12-13,24874
District of Columbia,2020-12-14,25038
District of Columbia,2020-12-15,25339
District of Columbia,2020-12-16,25602
District of Columbia,2020-12-17,25830
District of Columbia,2020-12-18,26104
District of Columbia,2020-12-19,26342
District of Columbia,2020-12-20,26601
District of Columbia,2020-12-21,26740
District of Columbia,2020-12-22,26900
District of Columbia,2020-12-23,27226
District of Columbia,2020-12-24,27436
District of Columbia,2020-12-25,27436
District of Columbia,2020-12-26,27710
District of Columbia,2020-12-27,28202
District of Columbia,2020-12-28,28342
District of Columbia,2020-12-29,28535
District of Columbia,2020-12-30,28758
District of Columbia,2020-12-31,28983
District of Columbia,2021-01-01,29252
District of Columbia,2021-01-02,29509
District of Columbia,2021-01-03,29764
District of Columbia,2021-01-04,29904
District of Columbia,2021-01-05,30166
District of Columbia,2021-01-06,30482
District of Columbia,2021-01-07,30750
District of Columbia,2021-01-08,31107
District of Columbia,2021-01-09,31457
District of Columbia,2021-01-10,31791
District of Columbia,2021-01-11,31993
District of Columbia,2021-01-12,32423
District of Columbia,2021-01-13,32600
District of Columbia,2021-01-14,32820
District of Columbia,2021-01-15,33140
District of Columbia,2021-01-16,33537
District of Columbia,2021-01-17,33851
District of Columbia,2021-01-18,34033
District of Columbia,2021-01-19,34259
District of Columbia,2021-01-20,34403
District of Columbia,2021-01-21,34612
District of Columbia,2021-01-22,34905
District of Columbia,2021-01-23,35077
District of Columbia,2021-01-24,35301
District of Columbia,2021-01-25,35505
District of Columbia,2021-01-26,35700
District of Columbia,2021-01-27,35865
District of Columbia,2021-01-28,36132
District of Columbia,2021-01-29,36414
District of Columbia,2021-01-30,36662
District of Columbia,2021-01-31,36872
District of Columbia,2021-02-01,37008
District of Columbia,2021-02-02,37138
District of Columbia,2021-02-03,37199
District of Columbia,2021-02-04,37365
District of Columbia,2021-02-05,37634
District of Columbia,2021-02-06,37877
District of Columbia,2021-02-07,38035
District of Columbia,2021-02-08,38136
District of Columbia,2021-02-09,38281
District of Columbia,2021-02-10,38348
District of Columbia,2021-02-11,38533
District of Columbia,2021-02-12,38670
District of Columbia,2021-02-13,38796
District of Columbia,2021-02-14,38918
District of Columbia,2021-02-15,39001
District of Columbia,2021-02-16,39131
District of Columbia,2021-02-17,39180
District of Columbia,2021-02-18,39301
District of Columbia,2021-02-19,39461
District of Columbia,2021-02-20,39553
District of Columbia,2021-02-21,39648
District of Columbia,2021-02-22,39755
District of Columbia,2021-02-23,39844
District of Columbia,2021-02-24,39943
District of Columbia,2021-02-25,40122
District of Columbia,2021-02-26,40284
District of Columbia,2021-02-27,40478
District of Columbia,2021-02-28,40598
District of Columbia,2021-03-01,40684
District of Columbia,2021-03-02,40767
District of Columbia,2021-03-03,40818
District of Columbia,2021-03-04,41014
District of Columbia,2021-03-05,41122
District of Columbia,2021-03-06,41273
District of Columbia,2021-03-07,41419
District of Columbia,2021-03-08,41579
District of Columbia,2021-03-09,41910
District of Columbia,2021-03-10,42006
District of Columbia,2021-03-11,42128
District of Columbia,2021-03-12,42282
District of Columbia,2021-03-13,42432
District of Columbia,2021-03-14,42511
District of Columbia,2021-03-15,42623
District of Columbia,2021-03-16,42730
District of Columbia,2021-03-17,42811
District of Columbia,2021-03-18,42892
District of Columbia,2021-03-19,43034
District of Columbia,2021-03-20,43175
District of Columbia,2021-03-21,43229
District of Columbia,2021-03-22,43383
District of Columbia,2021-03-23,43488
District of Columbia,2021-03-24,43595
District of Columbia,2021-03-25,43669
District of Columbia,2021-03-26,43825
District of Columbia,2021-03-27,44051
District of Columbia,2021-03-28,44175
District of Columbia,2021-03-29,44248
District of Columbia,2021-03-30,44413
District of Columbia,2021-03-31,44513
District of Columbia,2021-04-01,44656
District of Columbia,2021-04-02,44807
District of Columbia,2021-04-03,44932
District of Columbia,2021-04-04,45037
District of Columbia,2021-04-05,45112
District of Columbia,2021-04-06,45234
District of Columbia,2021-04-07,45328
District of Columbia,2021-04-08,45498
District of Columbia,2021-04-09,45634
District of Columbia,2021-04-10,45762
District of Columbia,2021-04-11,45830
District of Columbia,2021-04-12,45903
District of Columbia,2021-04-13,46016
District of Columbia,2021-04-14,46209
District of Columbia,2021-04-15,46315
District of Columbia,2021-04-16,46449
District of Columbia,2021-04-17,46579
District of Columbia,2021-04-18,46662
District of Columbia,2021-04-19,46740
District of Columbia,2021-04-20,46869
District of Columbia,2021-04-21,46941
District of Columbia,2021-04-22,47040
District of Columbia,2021-04-23,47141
District of Columbia,2021-04-24,47219
District of Columbia,2021-04-25,47323
District of Columbia,2021-04-26,47378
District of Columbia,2021-04-27,47471
District of Columbia,2021-04-28,47533
District of Columbia,2021-04-29,47614
District of Columbia,2021-04-30,47697
District of Columbia,2021-05-01,47800
District of Columbia,2021-05-02,47855
District of Columbia,2021-05-03,47903
District of Columbia,2021-05-04,47986
District of Columbia,2021-05-05,48041
District of Columbia,2021-05-06,48080
District of Columbia,2021-05-07,48136
District of Columbia,2021-05-08,48164
District of Columbia,2021-05-09,48180
District of Columbia,2021-05-10,48195
District of Columbia,2021-05-11,48282
District of Columbia,2021-05-12,48336
District of Columbia,2021-05-13,48404
District of Columbia,2021-05-14,48424
District of Columbia,2021-05-15,48530
District of Columbia,2021-05-16,48545
District of Columbia,2021-05-17,48590
District of Columbia,2021-05-18,48616
District of Columbia,2021-05-19,48634
District of Columbia,2021-05-20,48662
District of Columbia,2021-05-21,48689
District of Columbia,2021-05-22,48727
District of Columbia,2021-05-23,48748
District of Columbia,2021-05-24,48762
District of Columbia,2021-05-25,48803
District of Columbia,2021-05-26,48822
District of Columbia,2021-05-27,48844
District of Columbia,2021-05-28,48898
District of Columbia,2021-05-29,48898
District of Columbia,2021-05-30,48898
District of Columbia,2021-05-31,48898
District of Columbia,2021-06-01,49000
District of Columbia,2021-06-02,49011
District of Columbia,2021-06-03,49041
District of Columbia,2021-06-04,49068
District of Columbia,2021-06-05,49068
District of Columbia,2021-06-06,49068
District of Columbia,2021-06-07,49110
District of Columbia,2021-06-08,49119
District of Columbia,2021-06-09,49127
District of Columbia,2021-06-10,49151
District of Columbia,2021-06-11,49158
District of Columbia,2021-06-12,49158
District of Columbia,2021-06-13,49158
District of Columbia,2021-06-14,49179
District of Columbia,2021-06-15,49213
District of Columbia,2021-06-16,49223
District of Columbia,2021-06-17,49232
District of Columbia,2021-06-18,49243
District of Columbia,2021-06-19,49243
District of Columbia,2021-06-20,49243
District of Columbia,2021-06-21,49248
District of Columbia,2021-06-22,49275
District of Columbia,2021-06-23,49284
District of Columbia,2021-06-24,49297
District of Columbia,2021-06-25,49305
District of Columbia,2021-06-26,49305
District of Columbia,2021-06-27,49305
District of Columbia,2021-06-28,49315
District of Columbia,2021-06-29,49347
District of Columbia,2021-06-30,49335
District of Columbia,2021-07-01,49362
District of Columbia,2021-07-02,49378
District of Columbia,2021-07-03,49378
District of Columbia,2021-07-04,49378
District of Columbia,2021-07-05,49378
District of Columbia,2021-07-06,49417
District of Columbia,2021-07-07,49423
District of Columbia,2021-07-08,49434
District of Columbia,2021-07-09,49455
District of Columbia,2021-07-10,49455
District of Columbia,2021-07-11,49455
District of Columbia,2021-07-12,49526
District of Columbia,2021-07-13,49536
District of Columbia,2021-07-14,49574
District of Columbia,2021-07-15,49615
District of Columbia,2021-07-16,49652
District of Columbia,2021-07-17,49652
District of Columbia,2021-07-18,49652
District of Columbia,2021-07-19,49793
District of Columbia,2021-07-20,49827
District of Columbia,2021-07-21,49858
District of Columbia,2021-07-22,49930
District of Columbia,2021-07-23,49973
District of Columbia,2021-07-24,49973
District of Columbia,2021-07-25,49973
District of Columbia,2021-07-26,50160
District of Columbia,2021-07-27,50160
District of Columbia,2021-07-28,50268
District of Columbia,2021-07-29,50329
District of Columbia,2021-07-30,50398
District of Columbia,2021-07-31,50398
District of Columbia,2021-08-01,50398
District of Columbia,2021-08-02,50716
District of Columbia,2021-08-03,50800
District of Columbia,2021-08-04,50858
District of Columbia,2021-08-05,50975
District of Columbia,2021-08-06,51103
District of Columbia,2021-08-07,51103
District of Columbia,2021-08-08,51103
District of Columbia,2021-08-09,51589
District of Columbia,2021-08-10,51726
District of Columbia,2021-08-11,51853
District of Columbia,2021-08-12,52005
District of Columbia,2021-08-13,52201
District of Columbia,2021-08-14,52201
District of Columbia,2021-08-15,52201
District of Columbia,2021-08-16,52777
District of Columbia,2021-08-17,52843
District of Columbia,2021-08-18,52843
District of Columbia,2021-08-19,53162
District of Columbia,2021-08-20,53342
District of Columbia,2021-08-21,53342
District of Columbia,2021-08-22,53342
District of Columbia,2021-08-23,53898
District of Columbia,2021-08-24,54031
District of Columbia,2021-08-25,54156
District of Columbia,2021-08-26,54366
District of Columbia,2021-08-27,54556
District of Columbia,2021-08-28,54556
District of Columbia,2021-08-29,54556
District of Columbia,2021-08-30,55253
District of Columbia,2021-08-31,55431
District of Columbia,2021-09-01,55570
District of Columbia,2021-09-02,55718
District of Columbia,2021-09-03,55918
District of Columbia,2021-09-04,55918
District of Columbia,2021-09-05,55918
District of Columbia,2021-09-06,55918
District of Columbia,2021-09-07,56569
District of Columbia,2021-09-08,56694
District of Columbia,2021-09-09,56859
District of Columbia,2021-09-10,56966
District of Columbia,2021-09-11,56966
District of Columbia,2021-09-12,56966
District of Columbia,2021-09-13,57771
District of Columbia,2021-09-14,58146
District of Columbia,2021-09-15,58440
District of Columbia,2021-09-16,58649
District of Columbia,2021-09-17,58851
District of Columbia,2021-09-18,58851
District of Columbia,2021-09-19,58851
District of Columbia,2021-09-20,59563
District of Columbia,2021-09-21,59712
District of Columbia,2021-09-22,59849
District of Columbia,2021-09-23,60018
District of Columbia,2021-09-24,60205
District of Columbia,2021-09-25,60205
District of Columbia,2021-09-26,60205
District of Columbia,2021-09-27,60772
District of Columbia,2021-09-28,60898
District of Columbia,2021-09-29,60996
District of Columbia,2021-09-30,61153
District of Columbia,2021-10-01,61331
District of Columbia,2021-10-02,61331
District of Columbia,2021-10-03,61331
District of Columbia,2021-10-04,61791
District of Columbia,2021-10-05,61863
District of Columbia,2021-10-06,61978
District of Columbia,2021-10-07,62098
District of Columbia,2021-10-08,62266
District of Columbia,2021-10-09,62266
District of Columbia,2021-10-10,62266
District of Columbia,2021-10-11,62266
District of Columbia,2021-10-12,62702
District of Columbia,2021-10-13,62750
District of Columbia,2021-10-14,62852
District of Columbia,2021-10-15,62976
District of Columbia,2021-10-16,62976
District of Columbia,2021-10-17,62976
District of Columbia,2021-10-18,63305
District of Columbia,2021-10-19,63345
District of Columbia,2021-10-20,63400
District of Columbia,2021-10-21,63474
District of Columbia,2021-10-22,63588
District of Columbia,2021-10-23,63588
District of Columbia,2021-10-24,63588
District of Columbia,2021-10-25,63879
District of Columbia,2021-10-26,63919
District of Columbia,2021-10-27,63990
District of Columbia,2021-10-28,64108
District of Columbia,2021-10-29,64240
District of Columbia,2021-10-30,64240
District of Columbia,2021-10-31,64240
District of Columbia,2021-11-01,64470
District of Columbia,2021-11-02,64541
District of Columbia,2021-11-03,64602
District of Columbia,2021-11-04,64708
District of Columbia,2021-11-05,64799
District of Columbia,2021-11-06,64799
District of Columbia,2021-11-07,64799
District of Columbia,2021-11-08,65050
District of Columbia,2021-11-09,65094
District of Columbia,2021-11-10,65159
District of Columbia,2021-11-11,65159
District of Columbia,2021-11-12,65371
District of Columbia,2021-11-13,65371
District of Columbia,2021-11-14,65371
District of Columbia,2021-11-15,65623
District of Columbia,2021-11-16,65707
District of Columbia,2021-11-17,65793
District of Columbia,2021-11-18,65889
District of Columbia,2021-11-19,66028
District of Columbia,2021-11-20,66028
District of Columbia,2021-11-21,66028
District of Columbia,2021-11-22,66347
District of Columbia,2021-11-23,66433
District of Columbia,2021-11-24,66510
District of Columbia,2021-11-25,66510
District of Columbia,2021-11-26,66510
District of Columbia,2021-11-27,66510
District of Columbia,2021-11-28,66510
District of Columbia,2021-11-29,66857
District of Columbia,2021-11-30,66912
District of Columbia,2021-12-01,67047
District of Columbia,2021-12-02,67173
District of Columbia,2021-12-03,67430
District of Columbia,2021-12-04,67430
District of Columbia,2021-12-05,67430
District of Columbia,2021-12-06,67996
District of Columbia,2021-12-07,68134
District of Columbia,2021-12-08,68262
District of Columbia,2021-12-09,68460
District of Columbia,2021-12-10,68702
District of Columbia,2021-12-11,68702
District of Columbia,2021-12-12,68702
District of Columbia,2021-12-13,68702
District of Columbia,2021-12-14,69540
District of Columbia,2021-12-15,69867
District of Columbia,2021-12-16,70375
District of Columbia,2021-12-17,71219
District of Columbia,2021-12-18,71219
District of Columbia,2021-12-19,71219
District of Columbia,2021-12-20,74982
District of Columbia,2021-12-21,76137
District of Columbia,2021-12-22,77661
District of Columbia,2021-12-23,79565
District of Columbia,2021-12-24,79565
District of Columbia,2021-12-25,79565
District of Columbia,2021-12-26,79565
District of Columbia,2021-12-27,88765
District of Columbia,2021-12-28,90633
District of Columbia,2021-12-29,92045
District of Columbia,2021-12-30,94286
District of Columbia,2021-12-31,94286
District of Columbia,2022-01-01,94286
District of Columbia,2022-01-02,94286
District of Columbia,2022-01-03,103487
District of Columbia,2022-01-04,105493
District of Columbia,2022-01-05,106819
District of Columbia,2022-01-06,108112
District of Columbia,2022-01-07,110040
District of Columbia,2022-01-08,110040
District of Columbia,2022-01-09,110040
District of Columbia,2022-01-10,116278
District of Columbia,2022-01-11,117586
District of Columbia,2022-01-12,118802
District of Columbia,2022-01-13,120327
District of Columbia,2022-01-14,121871
District of Columbia,2022-01-15,121871
District of Columbia,2022-01-16,121871
District of Columbia,2022-01-17,121871
District of Columbia,2022-01-18,125707
District of Columbia,2022-01-19,126187
District of Columbia,2022-01-20,126675
District of Columbia,2022-01-21,127200
District of Columbia,2022-01-22,127200
District of Columbia,2022-01-23,127200
District of Columbia,2022-01-24,128550
District of Columbia,2022-01-25,128739
District of Columbia,2022-01-26,129108
District of Columbia,2022-01-27,129479
District of Columbia,2022-01-28,129817
District of Columbia,2022-01-29,129817
District of Columbia,2022-01-30,129817
District of Columbia,2022-01-31,130888
District of Columbia,2022-02-01,130949
District of Columbia,2022-02-02,131093
District of Columbia,2022-02-03,131284
District of Columbia,2022-02-04,131543
District of Columbia,2022-02-05,131543
District of Columbia,2022-02-06,131543
District of Columbia,2022-02-07,132170
District of Columbia,2022-02-08,132257
District of Columbia,2022-02-09,132384
District of Columbia,2022-02-10,132628
District of Columbia,2022-02-11,132820
District of Columbia,2022-02-12,132820
District of Columbia,2022-02-13,132820
District of Columbia,2022-02-14,133295
District of Columbia,2022-02-15,133339
District of Columbia,2022-02-16,133459
District of Columbia,2022-02-17,133587
District of Columbia,2022-02-18,133697
District of Columbia,2022-02-19,133697
District of Columbia,2022-02-20,133697
District of Columbia,2022-02-21,133697
District of Columbia,2022-02-22,134066
District of Columbia,2022-02-23,134114
District of Columbia,2022-02-24,134214
District of Columbia,2022-02-25,134326
District of Columbia,2022-02-26,134326
District of Columbia,2022-02-27,134326
District of Columbia,2022-02-28,134564
District of Columbia,2022-03-01,134623
District of Columbia,2022-03-02,134678
District of Columbia,2022-03-03,134678
District of Columbia,2022-03-04,134678
District of Columbia,2022-03-05,134678
District of Columbia,2022-03-06,134678
District of Columbia,2022-03-07,134678
District of Columbia,2022-03-08,134678
District of Columbia,2022-03-09,135086
District of Columbia,2022-03-10,135086
District of Columbia,2022-03-11,135223
District of Columbia,2022-03-12,135223
District of Columbia,2022-03-13,135223
District of Columbia,2022-03-14,135223
District of Columbia,2022-03-15,135223
District of Columbia,2022-03-16,135223
District of Columbia,2022-03-17,135575
District of Columbia,2022-03-18,135681
District of Columbia,2022-03-19,135752
District of Columbia,2022-03-20,135752
District of Columbia,2022-03-21,135752
District of Columbia,2022-03-22,135884
District of Columbia,2022-03-23,135955
District of Columbia,2022-03-24,136062
District of Columbia,2022-03-25,136213
District of Columbia,2022-03-26,136322
District of Columbia,2022-03-27,136322
District of Columbia,2022-03-28,136322
District of Columbia,2022-03-29,136506
District of Columbia,2022-03-30,136598
District of Columbia,2022-03-31,136598
District of Columbia,2022-04-01,136886
District of Columbia,2022-04-02,136886
District of Columbia,2022-04-03,136886
District of Columbia,2022-04-04,136886
District of Columbia,2022-04-05,136886
District of Columbia,2022-04-06,137603
District of Columbia,2022-04-07,137603
District of Columbia,2022-04-08,137603
District of Columbia,2022-04-09,137603
District of Columbia,2022-04-10,137603
District of Columbia,2022-04-11,137603
District of Columbia,2022-04-12,138939
District of Columbia,2022-04-13,139160
District of Columbia,2022-04-14,139160
District of Columbia,2022-04-15,139772
District of Columbia,2022-04-16,139772
District of Columbia,2022-04-17,139772
District of Columbia,2022-04-18,139772
District of Columbia,2022-04-19,139772
District of Columbia,2022-04-20,140674
District of Columbia,2022-04-21,140845
District of Columbia,2022-04-22,140845
District of Columbia,2022-04-23,141355
District of Columbia,2022-04-24,141355
District of Columbia,2022-04-25,141355
District of Columbia,2022-04-26,141355
District of Columbia,2022-04-27,141943
District of Columbia,2022-04-28,141943
District of Columbia,2022-04-29,141943
District of Columbia,2022-04-30,141943
District of Columbia,2022-05-01,141943
District of Columbia,2022-05-02,141943
District of Columbia,2022-05-03,141943
District of Columbia,2022-05-04,141943
District of Columbia,2022-05-05,141943
District of Columbia,2022-05-06,141943
District of Columbia,2022-05-07,141943
District of Columbia,2022-05-08,141943
District of Columbia,2022-05-09,141943
District of Columbia,2022-05-10,143005
District of Columbia,2022-05-11,143005
District of Columbia,2022-05-12,143943
District of Columbia,2022-05-13,144675
District of Columbia,2022-05-14,145187
District of Columbia,2022-05-15,145187
District of Columbia,2022-05-16,145187
District of Columbia,2022-05-17,145846
District of Columbia,2022-05-18,146163
District of Columbia,2022-05-19,146520
District of Columbia,2022-05-20,146904
District of Columbia,2022-05-21,147210
District of Columbia,2022-05-22,147210
District of Columbia,2022-05-23,147210
District of Columbia,2022-05-24,147819
District of Columbia,2022-05-25,148270
District of Columbia,2022-05-26,148843
District of Columbia,2022-05-27,149271
District of Columbia,2022-05-28,149271
District of Columbia,2022-05-29,149271
District of Columbia,2022-05-30,149271
District of Columbia,2022-05-31,149638
District of Columbia,2022-06-01,150303
District of Columbia,2022-06-02,150495
District of Columbia,2022-06-03,150783
District of Columbia,2022-06-04,151005
District of Columbia,2022-06-05,151005
District of Columbia,2022-06-06,151005
District of Columbia,2022-06-07,151652
District of Columbia,2022-06-08,151978
